M CIOLACU
VETI 4.290305559552934
ECONOMICA 4.273089410620451
DEZVOLTAM 4.244700833664092
LIBERTATEA 4.208534287221868
DECIZII 4.143026413478728
ULTIMUL 4.143026413478728
VREAU 4.06909172457343
PRESEDINTE 4.029222370729873
ADERAREA 3.997191883724277
DOMNILOR 3.99449684699361
II 3.961638501945527
MICI 3.949443524929652
ANUL 3.8958094472393863
SFARSIT 3.8612750035976404
OBIECTIVE 3.8612750035976404
TRAIESC 3.793099572174216
CONTINUA 3.7739165373674077
GANDESC 3.7529872753595885
ECONOMIE 3.724276874370413
SUNTETI 3.690155324912703
DRAGI 3.636328046297749
DAM 3.612433562647104
INDIFERENT 3.592651220799156
PRIM-MINISTRU 3.5523299435607507
DOAMNELOR 3.5245560414649484
LIDERI 3.494372820554766
RAND 3.47960286283744
INAINTE 3.4506091442283946
PUBLIC 3.4322444476423475
INTERESELE 3.3699329884987446
TOTI 3.35502166666369
FAPT 3.290619330778447
PLAN 3.1893593801766498
MULTUMESC 3.137274886933142
COTITURA 2.979421499496331
ALEG 2.979421499496331
COMUNITATE 2.979421499496331
DINTR-UN 2.979421499496331
PRESEDINTI 2.979421499496331
FUNDAMENTALA 2.979421499496331
MEDICI 2.979421499496331
MINTI 2.979421499496331
INCERCAT 2.979421499496331
INTRAREA 2.979421499496331
UITAT 2.979421499496331
AMINTESC 2.979421499496331
PRIVIM 2.979421499496331
TEHNOLOGICE 2.979421499496331
ECONOMIEI 2.979421499496331
TEHNOLOGIC 2.979421499496331
JUCATOR 2.979421499496331
SANATOASA 2.979421499496331
PRINTR-UN 2.979421499496331
BUCURESTIULUI 2.979421499496331
INIMA 2.979421499496331
DECIDE 2.979421499496331
CAPABILA 2.979421499496331
ESENTA 2.979421499496331
COMANDANTUL 2.979421499496331
SUPREM 2.979421499496331
INTERNATIONALE 2.979421499496331
ADERARE 2.979421499496331
TRANSPORTE 2.979421499496331
MANDATUL 2.979421499496331
ACTIONEZE 2.979421499496331
INCETEZE 2.979421499496331
ORIENTUL 2.979421499496331
MIJLOCIU 2.979421499496331
DIPLOMATIE 2.979421499496331
DEPARTE 2.979421499496331
RECONSTRUCTIA 2.979421499496331
GARANTIE 2.979421499496331
INCEPUTUL 2.979421499496331
CLARE 2.979421499496331
MONDIALE 2.979421499496331
PRESEDINTIEI 2.979421499496331
SUBIECT 2.979421499496331
BULGARIA 2.979421499496331
MARFA 2.979421499496331
IMPRUMUTAT 2.979421499496331
PUR 2.979421499496331
PROMIT 2.979421499496331
INCHEIAT 2.979421499496331
CUMPANA 2.979421499496331
VAZUT-O 2.979421499496331
APERE 2.979421499496331
AMERICANI 2.979421499496331
CADRU 2.979421499496331
DUBLA 2.979421499496331
CENTRALA 2.979421499496331
VREO 2.9615573977006013
LEAGA 2.9527054392669285
PARTIDUL 2.9527054392669285
ACORD 2.9527054392669285
INAPOI 2.9527054392669285
FACETI 2.9527054392669285
IMPREUNA 2.9482394012212034
MULTIME 2.926464239458915
GREA 2.926464239458915
ASUME 2.926464239458915
RECENT 2.926464239458915
TRAIT 2.926464239458915
MUNCEASCA 2.926464239458915
DROGURI 2.926464239458915
ARATE 2.926464239458915
BUNI 2.926464239458915
DREAPTA 2.926464239458915
RESPECTATI 2.926464239458915
BUZAU 2.926464239458915
CURAJUL 2.926464239458915
OFERIT 2.926464239458915
OBSERV 2.926464239458915
PRECEDENT 2.926464239458915
VIU 2.926464239458915
FEMEIE 2.926464239458915
FABRICI 2.926464239458915
PIATA 2.926464239458915
TOXICE 2.926464239458915
SCHIMBAM 2.926464239458915
RECONSTRUI 2.926464239458915
SPATII 2.926464239458915
ONESTITATE 2.926464239458915
VIGOARE 2.926464239458915
PARGHII 2.926464239458915
CONDITIILE 2.926464239458915
RELATII 2.926464239458915
CAP 2.926464239458915
ARMAMENT 2.926464239458915
FERM 2.926464239458915
PRIETEN 2.926464239458915
DROGURILE 2.926464239458915
FACUTE 2.926464239458915
SI-O 2.926464239458915
PROIECTUL 2.926464239458915
LE-AU 2.926464239458915
PRIMESC 2.926464239458915
UDMR 2.926464239458915
INVIT 2.926464239458915
RUDE 2.926464239458915
MINCINOSI 2.926464239458915
IMPOZITELE 2.926464239458915
ADUCETI 2.926464239458915
IMPRUMUTATI 2.926464239458915
GRATIS 2.926464239458915
CASA 2.926464239458915
GUVERNARII 2.926464239458915
NICIUNA 2.926464239458915
URIASE 2.926464239458915
ZECI 2.926464239458915
ASTEPTAM 2.926464239458915
SECUNDA 2.926464239458915
ADMINISTRATIVA 2.926464239458915
LUNA 2.926464239458915
INVESTITII 2.9034148220713143
INSEAMNA 2.8456128158268372
NEVOIE 2.836394703998025
ACESTUI 2.830872438898213
TRAIM 2.829800555776062
ENERGIA 2.829800555776062
PROPRIA 2.829800555776062
PRIETENI 2.8056895248145786
SINGUR 2.8056895248145786
DELOC 2.8056895248145786
SOCIETATE 2.798791291458569
SANSA 2.795498256443813
CRESTE 2.7836822902699523
SINGURA 2.783211342874141
FAMILIA 2.767616493684527
STAT 2.7653257261608326
MODEL 2.762017608985818
NORMAL 2.762017608985818
MILITARI 2.762017608985818
MILITAR 2.762017608985818
DECIZIILE 2.762017608985818
SUA 2.762017608985818
CONTINUAM 2.739043130778624
PARTENERI 2.739043130778624
VALORILE 2.727835144893668
ACEL 2.724028737712856
CINCI 2.724028737712856
PLANURI 2.6944884155993667
TOAMNA 2.6944884155993667
ESENTIALE 2.6944884155993667
ACCIDENTE 2.6944884155993667
CONSTRUIASCA 2.6944884155993667
DISPARA 2.6944884155993667
BUNASTAREA 2.6944884155993667
REDA 2.6944884155993667
DEVENIT 2.6944884155993667
ESUAT 2.6944884155993667
BAZAT 2.6944884155993667
VOUA 2.6944884155993667
MI-AM 2.6944884155993667
ELECTORALE 2.6944884155993667
CREATE 2.6944884155993667
INTRAT 2.6944884155993667
JOC 2.6944884155993667
CONSTRUCTIE 2.6944884155993667
DIPLOMA 2.6944884155993667
SOSELE 2.6944884155993667
FOLOSIM 2.6944884155993667
CRUCIALA 2.6944884155993667
MURDARE 2.6944884155993667
ELE 2.6944884155993667
REALIZA 2.6944884155993667
EFICIENTE 2.6944884155993667
CONTROL 2.6944884155993667
CONTINUE 2.6944884155993667
PROMISIUNI 2.6944884155993667
EXISTE 2.6944884155993667
IMPUNA 2.6944884155993667
TURCIA 2.6944884155993667
STATE 2.6944884155993667
DREPTURILE 2.6944884155993667
BUNICII 2.6944884155993667
PLATITE 2.6944884155993667
REDAM 2.6944884155993667
BUCURIE 2.6944884155993667
SEDINTA 2.6944884155993667
COMUNISMULUI 2.6944884155993667
LIBERTATE 2.6944884155993667
NUMEROASE 2.6944884155993667
SECETA 2.6944884155993667
MANANCA 2.6944884155993667
PREZINTE 2.6944884155993667
TEMELE 2.6944884155993667
RESURSA 2.6944884155993667
CAPABILI 2.6944884155993667
CFR 2.6944884155993667
CRESCUTE 2.6944884155993667
ALIMENTE 2.6944884155993667
TINUT 2.6944884155993667
SEZONUL 2.6944884155993667
RAS 2.6944884155993667
OCAZIA 2.6944884155993667
CONSTIENTI 2.6944884155993667
REPREZINTE 2.6944884155993667
MIX 2.6944884155993667
GAZUL 2.6944884155993667
TRECUTA 2.6944884155993667
SALARIUL 2.6944884155993667
EUROPEI 2.653156446508705
ATUNCI 2.6342148609961975
DORINTA 2.632962349953101
SIMBOL 2.632962349953101
HOTARE 2.632962349953101
REALIZAT 2.632962349953101
CAPITAL 2.632962349953101
STATELOR 2.632962349953101
BUGETUL 2.632962349953101
VENIM 2.632962349953101
UNITATE 2.632962349953101
OFERIM 2.613073339864183
REUSI 2.613073339864183
COMUNE 2.603241089832108
TRAI 2.5741833357317607
ARMATA 2.5741833357317607
SINDICATELE 2.57418333573176
ASUMAM 2.57418333573176
DEPASIM 2.57418333573176
EDUCATA 2.57418333573176
PUBLICA 2.57418333573176
DUCEM 2.57418333573176
FAMILIE 2.57418333573176
ECHILIBRUL 2.57418333573176
CRIZE 2.57418333573176
EFECT 2.57418333573176
REVIN 2.57418333573176
TINTELE 2.57418333573176
TREIA 2.57418333573176
PROGRAMELE 2.57418333573176
MEDICALE 2.57418333573176
POTENTIAL 2.57418333573176
PLANULUI 2.57418333573176
AFLATE 2.57418333573176
DREPTURILOR 2.57418333573176
ARMATEI 2.57418333573176
ABORDARE 2.57418333573176
PROPRIILE 2.57418333573176
ASADAR 2.57418333573176
OPORTUNITATI 2.57418333573176
AMERICII 2.57418333573176
DEZVOLTA 2.57418333573176
ELIMINAM 2.57418333573176
ACTIUNILE 2.57418333573176
OCCIDENTALE 2.57418333573176
MIZA 2.57418333573176
OBIECTIVELE 2.57418333573176
ROSII 2.57418333573176
UMAN 2.57418333573176
PARTICIPAM 2.57418333573176
REGIUNE 2.57418333573176
STABILITI 2.57418333573176
ACELEIASI 2.57418333573176
STABILIT 2.57418333573176
PROSPERA 2.57418333573176
INTRU 2.57418333573176
DIZABILITATI 2.57418333573176
PROMOVATE 2.57418333573176
PERMIT 2.57418333573176
DIPLOMATIC 2.57418333573176
DISTINSI 2.57418333573176
COMUNA 2.57418333573176
APARITIA 2.57418333573176
PASOPTISTILOR 2.57418333573176
RECENTE 2.57418333573176
EGALA 2.57418333573176
CONTEXT 2.57418333573176
AFLAM 2.57418333573176
URMATOARE 2.57418333573176
FOLOSIREA 2.57418333573176
DESCENTRALIZARE 2.57418333573176
REGIUNILE 2.57418333573176
DECALAJELE 2.57418333573176
L-AU 2.57418333573176
ACCENT 2.57418333573176
VENITURILOR 2.57418333573176
MAJORAREA 2.57418333573176
PRETURILE 2.57418333573176
AFLATI 2.57418333573176
CUMPARARE 2.57418333573176
POLONIEI 2.57418333573176
CAPAT 2.57418333573176
DETERMINATI 2.57418333573176
IDEAL 2.57418333573176
GENERATIILE 2.57418333573176
DIFERITE 2.57418333573176
OFERA 2.57418333573176
SIMTA 2.57418333573176
ADECVATE 2.57418333573176
REGLEMENTARI 2.57418333573176
AFACERILOR 2.57418333573176
ECONOMICI 2.57418333573176
TEHNOLOGIE 2.57418333573176
PRIVATE 2.57418333573176
OARA 2.57418333573176
FINANCIARE 2.57418333573176
ATINGEREA 2.57418333573176
REALA 2.57418333573176
BAZATA 2.57418333573176
AI 2.546061504849293
OAMENII 2.5389738891595037
NOU 2.43029416180667
ROMANII 2.392967025424363
AVETI 2.3844202952175753
DUMNEAVOASTRA 2.376124768303974
NICIODATA 2.3495236394352945
SPRIJIN 2.345617047099743
PARTENERIAT 2.3016813408215158
ECONOMIC 2.3016813408215158
GUVERN 2.300227707175954
PARTID 2.298839049607046
INSA 2.2791284650199297
SIMPLU 2.2710367410514922
ATAT 2.257286618910105
DIRECTIE 2.2409106335236726
REUSIT 2.2228314067812263
NE-AU 2.204644707467399
ANI 2.182132577630159
NOUA 2.1770131701663447
POT 2.1490529497886577
DATORIA 2.0966236923328596
MUNCESC 2.061723639929842
INTRE 2.0254739821656336
COMUN 1.9985959418621386
UNIUNII 1.9985959418621386
ZI 1.998207133371492
TRECUT 1.9975275782550206
ACASA 1.9862809996642203
FACUT-O 1.9862809996642203
LUNI 1.974371598467068
APOI 1.9626041595542036
MINTE 1.9626041595542036
TREBUIE 1.9610522307967075
PRIVAT 1.952430817374081
VEST 1.9509761596392765
PATRU 1.9509761596392765
DATI 1.9509761596392765
ROMANILOR 1.9400619252375915
UCRAINEI 1.9186507138729294
LE 1.9011444153622263
PARTIDE 1.896549786087108
LEGATURA 1.896549786087108
MERITA 1.896549786087108
NATIUNI 1.8872482925988083
DRUMUL 1.8872482925988083
PREMIERUL 1.8872482925988083
DEJA 1.8764936376797945
CORECT 1.8764936376797938
ROLUL 1.8764936376797938
M-AM 1.8724666850805918
ISI 1.868205468564892
ACESTEI 1.86592473975467
EXTERNA 1.865860860972379
COMPANII 1.865860860972379
AN 1.8606530496931715
ACUM 1.8579927543566788
ROMANEASCA 1.8561654770502563
USA 1.8554742285827608
ITALIA 1.8554742285827608
COPIILOR 1.8450776624563514
ATRAGEM 1.8450776624563514
FIECARE 1.84124859281487
OBIECTIV 1.8387023826655426
BINELE 1.8160191584752368
SCHENGEN 1.8160191584752368
MOMENT 1.812227131067398
CEI 1.8092954823138745
SPUN 1.8087066175483886
PUTERNICE 1.797621822146194
PARTENERIATULUI 1.797621822146194
INTREGI 1.796325610399578
LASAT 1.796325610399578
ENERGETIC 1.796325610399578
MINIM 1.796325610399578
DREPT 1.7878617594071404
DINTRE 1.7840823839765505
ALE 1.7749725330777093
INTOTDEAUNA 1.7748061517855818
GUVERNAREA 1.7687709643391365
PRETURI 1.7687709643391365
ULTIMII 1.7647880533090552
ALEGERILE 1.762142729576471
CELE 1.752886885647162
AU 1.7485142789593708
INDUSTRIA 1.7444455570922788
REGIONAL 1.7420488932427884
VRUT 1.7322101876410587
REFORMA 1.7261566412433442
PRIMUL 1.7257389409526285
VA 1.7185103089564346
REDRESARE 1.7161222238211733
GREU 1.703277555788619
FATA 1.7026731119623646
ALTFEL 1.69742420035197
TIMPUL 1.6867026497332436
MINISTRU 1.652596147660316
MAREA 1.6408379540158897
CONCRETE 1.6380088192598892
STRATEGICE 1.6024085289826693
MARE 1.5756078293696898
DUPA 1.5753971824898538
MARI 1.5752821969841413
NICI 1.5624858008023612
NIMENI 1.5574724591706621
VIITORUL 1.5505389453311207
DORESC 1.5218111314003553
VOI 1.5100759890840358
ROMANIEI 1.500320546757568
IEI 1.4897107497481652
PERFECT 1.4897107497481652
LIDER 1.4897107497481652
UNEORI 1.4897107497481652
MILITARE 1.4897107497481652
TARILE 1.4897107497481652
RELATIEI 1.4897107497481652
PRIETENIE 1.4897107497481652
PROTECTIA 1.4897107497481652
ESTIC 1.4897107497481652
MACAR 1.4897107497481652
REFUZATI 1.4897107497481652
FRUMOASA 1.4897107497481652
INCEP 1.4897107497481652
FORTE 1.4897107497481652
SERIOS 1.4830016549284653
RUSIA 1.4830016549284653
ASTAZI 1.4800263092285697
SCHIMBAT 1.4763527196334645
CONSTITUTIA 1.4763527196334645
PENSII 1.4763527196334645
IAU 1.4763527196334645
INTELEG 1.4763527196334645
NOAPTE 1.4763527196334645
VORBA 1.4763527196334645
INTERNATIONALA 1.4763527196334645
DORESTE 1.4763527196334645
PROST 1.4763527196334645
INFLUENTA 1.4763527196334645
SASE 1.4763527196334645
RESPECTATA 1.4763527196334645
DINCOLO 1.4763527196334645
STRATEGICA 1.4639101542082842
FEMEI 1.4632321197294575
SARACI 1.4632321197294575
EXTREMA 1.4632321197294575
ADRESA 1.4632321197294575
INCEPE 1.4632321197294575
CONTRACT 1.4632321197294575
SUMA 1.4632321197294575
RESPECTA 1.4632321197294575
GEOPOLITIC 1.4632321197294575
COMPLICAT 1.4632321197294575
GANDUL 1.4632321197294575
COMISIE 1.4632321197294575
SARACIT 1.4632321197294575
CANDIDAT 1.4632321197294575
LUPTAT 1.4632321197294575
MEU 1.4531432230522874
NATIUNE 1.4513421134442295
AVEAM 1.444973425058842
PLANUL 1.4415080380009722
ACEASTA 1.440065292093053
FELUL 1.4386603858347273
BATUT 1.4386603858347273
CEA 1.4357115982019055
CREDINTA 1.4324022695568754
POPORUL 1.4324022695568754
FAPTUL 1.427090052928628
VOR 1.4237783246588953
PLECAT 1.414900277888031
STEA 1.414900277888031
PROFESORI 1.414900277888031
PARINTII 1.414900277888031
VEDEA 1.414900277888031
VEZI 1.414900277888031
ADMINISTRATIE 1.414900277888031
OBTINE 1.414900277888031
INCEPEM 1.414900277888031
FIU 1.414900277888031
PARTI 1.414900277888031
COMPLET 1.414900277888031
DIRECT 1.414900277888031
VOASTRA 1.414900277888031
SPERAM 1.414900277888031
RIDICAM 1.414900277888031
BIROCRATIE 1.414900277888031
DIASPORA 1.414851304672646
PUTERNICA 1.4113916998242122
LUAT 1.4108101222993068
PROBLEMELE 1.4088467308282884
SCOLI 1.4088467308282884
CURAJ 1.4033716083035748
SCHIMBE 1.4028447624072895
LE-A 1.4028447624072895
POLITICIAN 1.4028447624072895
INDEPENDENTEI 1.4028447624072895
CONDUS 1.4028447624072895
CLARA 1.4028447624072895
DEMONSTRAM 1.4028447624072895
ALTI 1.4028447624072895
INTR-O 1.3994435548160027
PROPUS 1.391841145134976
I-AM 1.391558297488661
IMPOTRIVA 1.391558297488661
CELOR 1.3870102537201396
PRESEDINTIA 1.3810088044929092
ZIUA 1.3810088044929092
PLATEASCA 1.3810088044929092
TEHNOLOGII 1.3810088044929092
LIMBA 1.3810088044929092
CONTRIBUIE 1.3810088044929092
UREZ 1.3810088044929092
PROIECTELE 1.3810088044929092
MINISTRII 1.3810088044929092
RAPID 1.3810088044929092
POPULATIEI 1.3810088044929092
VIZIUNEA 1.3810088044929092
EXPERIENTA 1.3810088044929092
DIGITALIZARII 1.3810088044929092
ADMINISTRATIEI 1.3810088044929092
NATURAL 1.3810088044929092
JURUL 1.3695215653893125
CIVILA 1.3695215653893122
CUNOSCUT 1.3695215653893122
SIMT 1.3695215653893122
PASI 1.3695215653893122
INTELES 1.3695215653893122
PRIORITATE 1.3695215653893122
RAZBOI 1.3695215653893122
CONDUC 1.3695215653893122
VIZIUNI 1.3695215653893122
EXTRAORDINAR 1.3695215653893122
SPECIALA 1.3695215653893122
AFECTEAZA 1.3695215653893122
STUDII 1.3695215653893122
ASIGURE 1.3695215653893122
CREDETI 1.3695215653893122
PUTERII 1.3695215653893122
ROMANIA 1.3608482602278582
ADUCE 1.3582915499275547
MARILOR 1.3479731953994978
ENERGIE 1.347535708201899
MANDRI 1.3472442077996836
PARLAMENTARE 1.3472442077996836
CANDIDATI 1.3472442077996836
CEILALTI 1.3472442077996836
PRODUCEM 1.3472442077996836
SECTORUL 1.3472442077996836
ANULUI 1.3472442077996836
LINII 1.3472442077996836
STRAINATATE 1.3472442077996836
INTERESELOR 1.3472442077996836
IESITI 1.3472442077996836
CITIT 1.3472442077996836
GAZ 1.3472442077996836
CIUDA 1.3472442077996836
GENERA 1.3472442077996836
ALEGERILOR 1.3472442077996836
INCOACE 1.3472442077996836
EUROPA 1.3327011510760531
DIALOG 1.332397294574759
GUVERNUL 1.329352342732608
DEZVOLTARE 1.3270493320710184
ODATA 1.3270277914074495
MASURA 1.3265782232543526
SI-AU 1.3164811749765506
TRECEM 1.3164811749765506
PROGRAME 1.3164811749765506
BENEFICIUL 1.3164811749765506
DEZVOLTAT 1.3164811749765506
POPOR 1.3164811749765506
LUNG 1.3164811749765506
ORASE 1.3164811749765506
NECESARE 1.3164811749765506
SITUATIA 1.3164811749765506
PROVOCARI 1.3164811749765506
STIMULAREA 1.3164811749765506
ETAPE 1.3164811749765506
NATIONAL 1.3134432034183328
CONTINUARE 1.3134432034183328
OM 1.310854572877787
CREAREA 1.3016205449160538
NE 1.2917532863277714
AFACERI 1.2870916678658801
CRESTEREA 1.2870916678658801
ACELA 1.2870916678658797
CAMARAZI 1.2870916678658797
POATA 1.2870916678658797
PANDEMIE 1.2870916678658797
PRETURILOR 1.2870916678658797
LUA 1.2870916678658797
TOTODATA 1.2870916678658797
BAZA 1.2870916678658797
NOILOR 1.2870916678658797
TINEM 1.2870916678658797
ACTIV 1.2870916678658797
MODERN 1.2870916678658797
PARTICIPAREA 1.2870916678658797
PANDEMIEI 1.2870916678658797
CAMEREI 1.2870916678658797
DEPUTATILOR 1.2870916678658797
PUS 1.2870916678658797
ANGAJAT 1.2870916678658797
UNIREA 1.2870916678658797
UNIRII 1.2870916678658797
VIITOARE 1.2870916678658797
EXTERN 1.2870916678658797
PREDICTIBILITATE 1.2870916678658797
PRIVIND 1.2870916678658797
AL 1.2709429041153464
AVEA 1.258875839067925
AIBA 1.2564151473572653
CINE 1.251517968213412
DAT 1.2420765811877759
FACE 1.2392725170745658
ACEEA 1.2338269858317994
GUVERNARE 1.2332066277688125
DUMNEZEU 1.218521500360139
UN 1.212011279635589
TOATE 1.2101518519140504
ALATURI 1.204383498583375
FEL 1.2022459450862952
AZI 1.198675117634711
CAND 1.1909758358837625
DEVINA 1.1875975650090353
MELE 1.1832041011903878
ACEST 1.1810400197112927
SPERANTA 1.1738924830060207
AVEM 1.1707511977488771
ROMANESC 1.1629042089983403
POLITIC 1.1615040964330983
PARLAMENT 1.1605330580012625
FORTA 1.1553913411158157
ROMAN 1.1504155103344758
FIM 1.149077180275718
ACESTEA 1.1474742839961
SA 1.1358059286982654
UNUI 1.1323400341193461
PUNCT 1.1244452341788818
IAR 1.1244412803062966
CALEA 1.1168637023111874
TARA 1.1157058695458109
UNUL 1.1151996107882916
INTRA 1.1098779754559442
DOAMNA 1.1098779754559442
CONCRET 1.102446363228959
DE 1.0999120282696369
ECONOMICE 1.0992969337863934
ISTORIA 1.0988120574467066
DOUA 1.0974429596696174
INCEPUT 1.085781092759652
NOSTRI 1.081466309205832
ACESTA 1.0801608296850442
CU 1.07970020884468
MAJORITATEA 1.0747426263742654
IL 1.0649897926748948
POLITICA 1.062127726577686
STATELE 1.0611476607439958
LA 1.0596915870518444
CETATENI 1.0550748209335914
STABILITATEA 1.0550748209335914
INVESTITIILOR 1.038950870370785
OAMENI 1.0383625893557342
CAT 1.0286531100851941
INCAT 1.0268855318356982
CI 1.0016655853403897
SI 0.9955814062299899
EUROPENE 0.9941180999192432
AUTENTIC 0.99314049983211
PACEA 0.99314049983211
AMERICAN 0.99314049983211
ANII 0.99314049983211
APROPO 0.99314049983211
GENERATIE 0.99314049983211
VALORI 0.9871857992335338
PIERDUT 0.9871857992335338
POZITIA 0.9871857992335338
SINGURUL 0.9871857992335338
TOT 0.9844173552623401
SCHIMBA 0.9842351464223095
DOAR 0.9836423983420095
STITI 0.9832555113016711
TERMINA 0.9813020797771018
N-A 0.9813020797771018
ASTA 0.9812531650218348
PRESEDINTELE 0.9757140389599545
LOC 0.9629801258892128
TINERI 0.9595717024496536
FUNCTIA 0.9593253569364645
PACE 0.9593253569364645
SCHIMB 0.9593253569364645
DOI 0.9565386660546981
NU 0.9561149712209177
VIATA 0.9546530235036444
VIN 0.9510135731680744
STRATEGIC 0.9509264735133353
ADEVARAT 0.948274893043554
ROG 0.948274893043554
FURAT 0.948274893043554
I-AU 0.948274893043554
PARTENER 0.9436241462994044
MUNCA 0.9395651387905106
PARTE 0.939175727397119
LIDERILOR 0.9382468188398971
SERVICII 0.9382468188398971
RAMANA 0.9382468188398971
INDEPENDENTA 0.9382468188398971
SPATELE 0.9382468188398971
A 0.934576887574459
SUNT 0.9343957799085069
DIN 0.934392051150643
PENTRU 0.9333234584040107
CONSTRUIM 0.9303265248465857
IN 0.9300920050336866
UNA 0.9292032771464788
ORICE 0.9279098942240661
DEVREME 0.9277371142913804
MODELUL 0.9277371142913804
DAU 0.9277371142913804
AJUNGA 0.9277371142913804
VOM 0.9242511995982149
PRINCIPALELE 0.9225388312281757
L-A 0.9225388312281757
SOLUTIILE 0.9225388312281757
INVETE 0.9225388312281757
IESIM 0.9225388312281757
PESTE 0.9220192326421552
MAI 0.9182525086991089
TOCMAI 0.9177673474889269
ROMANIE 0.9152165451452975
RAMAS 0.9130449671764523
PASTRA 0.9130449671764523
DUCE 0.9130449671764523
LOR 0.9095711467200451
TIMP 0.9087203531046283
FUNCTIONAL 0.9080095792376186
TAXELOR 0.9080095792376186
STIU 0.9040762243971946
ERA 0.9030593512151021
DATA 0.9002760369219731
CETATENII 0.8988109110730967
CADRUL 0.8988109110730967
VIETII 0.8988109110730967
TRANSPARENTA 0.8988109110730967
INVESTITIILE 0.8988109110730967
MEDIU 0.8988109110730967
SUSTINE 0.898162805199789
LASATI 0.898162805199789
POATE 0.8953865826810607
RANDUL 0.89393087970357
VOTUL 0.89393087970357
POPORULUI 0.89393087970357
TINERILOR 0.8915398483093242
PERIOADA 0.8846995547140122
GASIT 0.8843854821695684
LUAM 0.8843854821695684
CONSTANTA 0.8843854821695684
VIZEAZA 0.8843854821695684
LIPSA 0.8843854821695684
EXEMPLE 0.8843854821695684
ASUMAT 0.8710244466213941
CHEIE 0.8710244466213941
PROTEJAREA 0.8710244466213941
TRANSPORT 0.8710244466213941
SEMNIFICATIVE 0.8710244466213941
ISTORIE 0.8710244466213941
AFLA 0.8710244466213941
SAPTAMANA 0.8710244466213941
O 0.8702670850424249
NICIO 0.8632959419195382
DEZVOLTAREA 0.8612656358351315
PRIVESTE 0.8580611119105865
